Name,Count
10-я улица Соколиной Горы,3
улица Михельсона,3
улица Солянка,3
Вокзальная площадь,3
улица Зарянова,3
1-я Рейсовая улица,3
Куркинское шоссе,3
улица Николая Коперника,3
Большая Юшуньская улица,3
улица Соловьиная Роща,3
1-й Магистральный тупик,3
улица Академика Опарина,3
Сибирский проезд,3
проезд Берёзовой Рощи,3
Маломосковская улица,3
1-й Красногвардейский проезд,3
проезд № 4807,3
проезд № 4921,3
улица Новомалино,3
улица Татьяны Макаровой,3
улица Академика Понтрягина,3
улица Арсюкова,3
улица Маргелова,3
Новодачное шоссе,3
Физическая улица,3
Милицейский переулок,3
улица Варварка,3
Нововатутинский проспект,3
Насосная улица,3
Балтийская улица,3
Пресненская набережная,3
Смирновская улица,3
Мироновская улица,3
улица Лётчика Грицевца,3
5-й Загородный проезд,3
Винницкая улица,3
улица Академика Виноградова,3
улица Светланова,3
Иваньковское шоссе,3
Николо-Хованская улица,3
Садовая-Каретная улица,3
улица Малая Дмитровка,3
1-й Рощинский проезд,3
Базовская улица,3
улица Ротерта,3
Фитарёвская улица,3
набережная Тараса Шевченко,2
4-й Лихачёвский переулок,2
Пехотная улица,2
2-й Пехотный переулок,2
Сенежская улица,2
Новослободская улица,2
улица Цандера,2
Сусоколовское шоссе,2
Лужнецкий проезд,2
Кудринская площадь,2
Смоленский бульвар,2
5-я улица Ямского Поля,2
1-я улица Ямского Поля,2
Мякининский проезд,2
Карамышевский проезд,2
1-й Новоподмосковный переулок,2
Минусинская улица,2
улица Амундсена,2
улица Маршала Конева,2
Смоленская площадь,2
Алёшкинский проезд,2
улица Маршала Соколовского,2
Гостиничный проезд,2
улица Академика Бочвара,2
74-й километр Московской Кольцевой Автодороги,2
Причальный проезд,2
Рубежный проезд,2
Магистральный переулок,2
93-й километр Московской Кольцевой Автодороги,2
91-й километр Московской Кольцевой Автодороги,2
89-й километр Московской Кольцевой Автодороги,2
88-й километр Московской Кольцевой Автодороги,2
87-й километр Московской Кольцевой Автодороги,2
84-й километр Московской Кольцевой Автодороги,2
83-й километр Московской Кольцевой Автодороги,2
Зональная улица,2
Пинский проезд,2
2-й Поперечный проезд,2
улица Боженко,2
Якиманский проезд,2
Береговой проезд,2
улица Санникова,2
Холмогорская улица,2
17-й проезд Марьиной Рощи,2
2-й Красногвардейский проезд,2
улица Сергея Макеева,2
Подольское шоссе,2
Малая Ботаническая улица,2
Лазоревый проезд,2
2-й Ботанический проезд,2
улица Седова,2
Останкинский проезд,2
1-й Нагатинский проезд,2
улица Намёткина,2
Страстной бульвар,2
Ялтинская улица,2
Артековская улица,2
Оружейный переулок,2
Садовая-Триумфальная улица,2
3-я Мытищинская улица,2
Народный проспект,2
Спартаковская улица,2
4-й проезд Подбельского,2
3-я Гражданская улица,2
улица Сайкина,2
4-я Гражданская улица,2
улица Богородский Вал,2
8-я улица Соколиной Горы,2
Преображенская площадь,2
Вербная улица,2
1-й Варшавский проезд,2
Коломенское шоссе,2
улица Садовники,2
3-я Рыбинская улица,2
улица Лобачика,2
Ольховская улица,2
Малый Купавенский проезд,2
106-й километр Московской Кольцевой Автодороги,2
108-й километр Московской Кольцевой Автодороги,2
улица Айвазовского,2
5-я улица Соколиной Горы,2
Яснополянская улица,2
Оршанская улица,2
Кунцевская улица,2
улица Екатерины Будановой,2
улица Коцюбинского,2
Никитский бульвар,2
1-й Поперечный проезд,2
Павелецкая площадь,2
Зубовская улица,2
Нижняя Радищевская улица,2
Душинская улица,2
Авиамоторный проезд,2
Главная улица,2
1-й Сетуньский проезд,2
2-й Сетуньский проезд,2
улица Маросейка,2
улица Семёновский Вал,2
улица Олеко Дундича,2
Измайловская площадь,2
Измайловский проезд,2
1-я Парковая улица,2
Зеленодольский проезд,2
Лермонтовская площадь,2
Большая Садовая улица,2
Большой Краснохолмский мост,2
Минаевский переулок,2
проектируемый проезд № 4294,2
Смоленская улица,2
проезд Нансена,2
Малая Андроньевская улица,2
площадь Крестьянская Застава,2
Сокольническая площадь,2
Остаповский проезд,2
Деловая улица,2
Полимерная улица,2
Павелецкая набережная,2
2-й километр Московской Кольцевой Автодороги,2
3-й километр Московской Кольцевой Автодороги,2
Тамбовская улица,2
Алма-Атинская улица,2
Измайловская улица,2
Белокаменное шоссе,2
Яузская аллея,2
1-й Боткинский проезд,2
улица Казакова,2
16-й километр Московской Кольцевой Автодороги,2
14-й километр Московской Кольцевой Автодороги,2
23-й километр Московской Кольцевой Автодороги,2
21-й километр Московской Кольцевой Автодороги,2
20-й километр Московской Кольцевой Автодороги,2
Кубанская улица,2
40-й километр Московской Кольцевой Автодороги,2
38-й километр Московской Кольцевой Автодороги,2
37-й километр Московской Кольцевой Автодороги,2
35-й километр Московской Кольцевой Автодороги,2
33-й километр Московской Кольцевой Автодороги,2
31-й километр Московской Кольцевой Автодороги,2
